Latitude,Longitude,Magnitude
26.834,92.5818,4.7
37.3071667,-112.63333329999999,0.75
35.9041,-97.2671,2.9
36.496333299999996,-117.54733329999999,1.18
37.868333299999996,-112.46516670000001,0.79
60.1311,-141.3207,1.1
39.0208,-118.3835,1.55
62.2408,-149.6141,1.4
45.0386667,-122.43116670000002,1.57
67.2929,-150.8706,2.3
46.198666700000004,-122.1788333,1.25
63.297,-151.3867,1.7
62.3226,-149.6046,1.4
19.9,-155.595,1.8
18.471,-67.4284,2.8
57.8576,-155.5334,2.4
60.02,-153.3769,2.3
37.3651667,-112.68766670000001,1.16
37.3611667,-112.68533329999998,1.01
35.9946671,-120.88016509999999,1.65
35.5878,-97.3722,2.8
19.41,-155.6385,0.7
37.49,-118.8055,0.84
35.981666600000004,-120.52999879999999,1.07
60.2173,-141.4111,1.6
33.8468333,-117.49083329999999,1.31
39.7272,-114.5492,1.28
19.3333,-155.1265,1.5
35.5938333,-118.21866670000001,0.78
63.2031,-150.3889,1.7
32.6291667,-115.32733329999999,1.88
38.6094,26.1146,4.6
42.3345,-122.8235,1.55
63.2105,-149.5653,1.0
37.1069984,-121.8209991,1.98
41.8958,-119.6373,1.57
36.8476,-98.2226,2.6
38.8219986,-122.81233219999999,0.63
38.815834,-122.8131638,1.59
62.5924,-149.319,1.2
37.969333299999995,-118.67516670000002,1.17
41.8844,-119.6524,2.07
41.8445,-119.6186,1.65
36.346,-97.0968,2.7
33.676333299999996,-117.26100000000001,1.39
37.1064987,-121.81966399999999,1.59
36.805831899999994,-121.52983090000001,1.55
41.8264,-119.6183,1.97
41.8366,-119.6135,1.89
36.5163,-99.0229,2.7
37.107,-121.8181667,1.89
63.9524,-148.7514,2.0
41.8344,-119.618,1.98
37.1075,-121.81283329999998,3.19
34.233000000000004,-116.72200000000001,1.32
38.834667200000005,-122.8036652,0.77
38.8343315,-122.8034973,0.78
62.7437,-150.9247,1.5
34.0263333,-117.23133329999999,0.92
63.2593,-150.3818,1.5
51.3852,-176.3336,2.3
34.303000000000004,-116.4375,1.22
-24.5893,-177.0817,5.4
42.0798333,-120.38033329999999,0.12
42.0923333,-120.275,0.57
42.09,-120.27566670000002,1.41
37.6395,-118.881,0.35
36.009,-117.801,0.05
39.2871,-120.3831,0.45
38.0146675,-118.66083529999999,1.98
33.4881667,-116.75666670000001,1.08
36.758,-97.5781,3.5
36.090166700000005,-117.88616670000002,0.61
38.949665100000004,-122.73483279999999,1.35
41.8387,-119.6197,1.45
44.155333299999995,-122.89983329999998,2.44
38.1776657,-122.2914963,1.23
38.841834999999996,-122.8278351,0.43
36.806667299999994,-121.3913345,0.97
38.841834999999996,-122.82716370000001,1.47
33.4906667,-116.48983329999999,0.83
33.977,-116.64200000000001,1.16
38.820331599999996,-122.7975006,0.34
41.8601,-119.6426,1.95
64.5313,-149.3736,2.2
37.1090012,-121.8168335,1.93
34.0441667,-117.14133329999999,1.77
33.9631667,-116.63466670000001,3.56
38.8323326,-122.8099976,1.34
34.003,-116.819,1.13
38.821166999999996,-122.80566409999999,0.67
38.789001500000005,-122.7304993,0.58
63.4526,-149.004,1.1
36.8588,-98.2614,2.6
38.8273315,-122.856163,0.78
63.0237,-151.4331,1.6
36.2866,-97.4336,2.6
37.471,-118.8361667,0.45
36.1148333,-117.367,1.56
35.9946671,-120.5585022,1.53
33.3605,-116.3635,1.65
-25.085,179.9513,4.6
33.3881667,-116.89716670000001,1.12
34.1196667,-117.0005,0.74
32.9191667,-115.52583329999999,1.6
46.6711,-111.4353,1.1
35.9345016,-120.48400120000001,1.15
41.8232,-119.62299999999999,1.77
5.939,126.5471,4.4
41.8372,-119.62700000000001,2.48
33.4851667,-116.76116670000002,1.41
60.1788,-151.3369,1.5
40.388000000000005,-125.38383329999999,4.29
41.8331,-119.6223,1.86
36.1435,-117.67683329999998,0.98
41.8368,-119.6185,1.69
